iter	Passed	Remaining
0	0	475
1	0	456
2	1	439
3	1	419
4	2	433
5	2	421
6	2	413
7	3	417
8	3	422
9	4	404
10	4	421
11	5	419
12	5	411
13	5	409
14	6	417
15	6	425
16	7	422
17	8	437
18	8	434
19	8	431
20	9	434
21	9	430
22	10	426
23	10	425
24	10	421
25	11	418
26	11	416
27	11	415
28	12	412
29	12	409
30	13	407
31	14	424
32	14	422
33	14	421
34	15	419
35	15	417
36	15	415
37	16	412
38	16	409
39	16	407
40	17	407
41	17	407
42	18	405
43	18	403
44	18	402
45	19	401
46	19	400
47	20	398
48	20	397
49	20	397
50	21	397
51	21	396
52	22	400
53	22	401
54	23	401
55	23	400
56	24	400
57	24	398
58	25	399
59	25	398
60	25	397
61	26	397
62	26	397
63	27	398
64	27	397
65	27	395
66	28	395
67	28	394
68	29	394
69	29	393
70	29	392
71	30	390
72	30	388
73	30	387
74	31	388
75	31	388
76	32	387
77	32	386
78	33	386
79	33	384
80	33	383
81	34	382
82	34	381
83	34	380
84	35	380
85	35	378
86	35	377
87	36	378
88	36	377
89	37	376
90	37	375
91	37	374
92	38	374
93	38	374
94	39	373
95	39	372
96	39	371
97	40	370
98	40	369
99	40	368
100	41	369
101	41	369
102	42	368
103	42	367
104	43	367
105	44	372
106	44	371
107	44	370
108	45	369
109	45	369
110	46	369
111	46	368
112	46	367
113	47	366
114	47	366
115	47	365
116	48	364
117	48	364
118	49	363
119	49	362
120	49	360
121	49	359
122	50	358
123	50	358
124	51	358
125	51	358
126	52	357
127	52	357
128	52	356
129	53	355
130	53	355
131	53	355
132	54	354
133	54	353
134	55	353
135	55	353
136	56	352
137	56	352
138	56	351
139	57	351
140	57	350
141	57	350
142	58	349
143	58	348
144	58	347
145	59	346
146	59	346
147	60	345
148	60	345
149	60	344
150	61	344
151	61	343
152	61	342
153	62	342
154	62	342
155	63	342
156	63	342
157	64	342
158	64	341
159	64	340
160	65	340
161	65	340
162	66	339
163	66	339
164	66	339
165	67	338
166	67	337
167	68	336
168	68	336
169	68	335
170	69	335
171	69	335
172	70	335
173	70	334
174	70	334
175	71	333
176	71	333
177	72	333
178	72	333
179	73	334
180	73	333
181	74	332
182	74	332
183	74	331
184	75	331
185	75	331
186	76	331
187	76	331
188	77	331
189	77	331
190	78	331
191	78	330
192	78	330
193	79	329
194	79	329
195	80	328
196	80	328
197	80	327
198	81	327
199	81	326
200	82	325
201	82	325
202	82	324
203	83	324
204	83	324
205	84	323
206	84	323
207	84	323
208	85	323
209	85	322
210	86	321
211	86	321
212	87	321
213	87	321
214	87	320
215	88	320
216	88	319
217	88	318
218	89	318
219	89	318
220	90	318
221	90	317
222	90	316
223	91	316
224	91	315
225	92	315
226	92	314
227	92	313
228	93	313
229	93	313
230	93	312
231	94	312
232	94	311
233	95	311
234	95	311
235	96	310
236	96	310
237	96	310
238	97	309
239	97	309
240	98	308
241	98	308
242	98	307
243	99	307
244	99	307
245	100	306
246	100	305
247	100	305
248	101	304
249	101	304
250	101	303
251	102	303
252	102	303
253	103	303
254	103	302
255	103	302
256	104	301
257	104	301
258	105	300
259	105	300
260	105	299
261	106	299
262	106	298
263	107	298
264	107	297
265	107	297
266	108	297
267	108	296
268	108	295
269	109	295
270	109	295
271	110	294
272	110	294
273	110	293
274	111	293
275	111	292
276	112	292
277	112	292
278	112	291
279	113	291
280	113	291
281	114	290
282	114	290
283	115	290
284	115	289
285	115	288
286	116	288
287	116	288
288	117	287
289	117	287
290	117	287
291	118	286
292	118	285
293	118	285
294	119	284
295	119	284
296	120	284
297	120	283
298	120	283
299	121	282
300	121	282
301	121	281
302	122	281
303	122	280
304	123	280
305	123	279
306	123	279
307	124	278
308	124	278
309	124	278
310	125	277
311	125	277
312	126	276
313	126	276
314	126	275
315	127	275
316	127	275
317	128	274
318	128	274
319	128	273
320	129	273
321	129	272
322	130	272
323	130	272
324	130	271
325	131	271
326	132	272
327	132	271
328	132	270
329	133	270
330	134	271
331	134	271
332	135	270
333	135	270
334	136	270
335	136	269
336	136	269
337	137	268
338	137	268
339	138	268
340	138	267
341	139	267
342	139	266
343	139	266
344	140	266
345	140	265
346	141	265
347	141	264
348	141	264
349	142	263
350	142	263
351	142	262
352	143	262
353	143	262
354	143	261
355	144	261
356	144	260
357	145	260
358	145	260
359	146	259
360	146	259
361	146	258
362	147	258
363	147	257
364	147	257
365	148	256
366	148	256
367	149	255
368	149	255
369	149	255
370	150	254
371	150	254
372	151	253
373	151	253
374	151	253
375	152	252
376	153	253
377	154	253
378	154	253
379	154	252
380	155	252
381	155	252
382	156	251
383	156	251
384	157	250
385	157	250
386	157	249
387	158	249
388	158	248
389	158	248
390	159	247
391	159	247
392	160	247
393	160	246
394	160	246
395	161	245
396	161	245
397	161	244
398	162	244
399	162	243
400	162	243
401	163	242
402	163	242
403	163	241
404	164	241
405	164	241
406	165	240
407	165	239
408	165	239
409	166	238
410	166	238
411	166	238
412	167	237
413	167	237
414	168	237
415	169	237
416	169	236
417	169	236
418	170	236
419	171	236
420	171	236
421	172	235
422	172	235
423	172	234
424	173	234
425	173	234
426	174	233
427	174	233
428	174	232
429	175	232
430	175	231
431	176	231
432	176	231
433	176	230
434	177	230
435	177	229
436	177	229
437	178	228
438	178	228
439	178	227
440	179	227
441	179	226
442	180	226
443	180	225
444	180	225
445	181	225
446	181	224
447	181	224
448	182	223
449	182	223
450	182	222
451	183	222
452	183	221
453	184	221
454	184	220
455	184	220
456	185	220
457	185	219
458	185	219
459	186	219
460	187	218
461	187	218
462	187	217
463	188	217
464	188	217
465	189	216
466	189	216
467	189	215
468	190	215
469	190	214
470	190	214
471	191	213
472	191	213
473	191	213
474	192	212
475	192	212
476	193	211
477	193	211
478	193	210
479	194	210
480	194	209
481	194	209
482	195	208
483	195	208
484	196	208
485	196	207
486	196	207
487	197	206
488	197	206
489	197	205
490	198	205
491	198	204
492	198	204
493	199	204
494	199	203
495	199	203
496	200	202
497	200	202
498	200	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	198
507	204	197
508	204	197
509	204	196
510	205	196
511	205	195
512	205	195
513	206	194
514	206	194
515	206	193
516	207	193
517	207	193
518	207	192
519	208	192
520	208	191
521	209	191
522	209	191
523	209	190
524	210	190
525	210	189
526	211	189
527	211	189
528	211	188
529	212	188
530	212	188
531	213	187
532	213	187
533	213	186
534	214	186
535	214	185
536	215	185
537	215	185
538	215	184
539	216	184
540	217	184
541	217	183
542	217	183
543	218	182
544	218	182
545	219	182
546	219	181
547	219	181
548	220	180
549	220	180
550	221	180
551	221	179
552	221	179
553	222	178
554	222	178
555	223	178
556	223	177
557	223	177
558	224	176
559	224	176
560	224	176
561	225	175
562	225	175
563	226	174
564	226	174
565	226	173
566	227	173
567	227	173
568	227	172
569	228	172
570	228	171
571	228	171
572	229	170
573	229	170
574	229	169
575	230	169
576	230	169
577	231	168
578	231	168
579	232	168
580	233	168
581	234	168
582	234	167
583	234	167
584	235	166
585	235	166
586	235	165
587	236	165
588	236	165
589	236	164
590	237	164
591	237	163
592	237	163
593	238	162
594	238	162
595	239	162
596	239	161
597	239	161
598	240	160
599	240	160
600	240	159
601	241	159
602	241	159
603	241	158
604	242	158
605	242	157
606	243	157
607	243	156
608	243	156
609	244	156
610	244	155
611	245	155
612	245	155
613	245	154
614	246	154
615	246	153
616	247	153
617	247	153
618	248	152
619	248	152
620	248	151
621	249	151
622	249	151
623	250	150
624	250	150
625	250	149
626	251	149
627	251	149
628	252	148
629	252	148
630	252	147
631	253	147
632	253	147
633	253	146
634	254	146
635	254	145
636	255	145
637	255	144
638	255	144
639	256	144
640	256	143
641	256	143
642	257	142
643	257	142
644	257	141
645	258	141
646	258	141
647	259	140
648	259	140
649	259	139
650	260	139
651	260	139
652	260	138
653	261	138
654	261	137
655	262	137
656	262	137
657	263	136
658	263	136
659	264	136
660	264	135
661	264	135
662	265	134
663	265	134
664	265	133
665	266	133
666	266	133
667	266	132
668	267	132
669	267	131
670	268	131
671	268	131
672	268	130
673	269	130
674	269	129
675	270	129
676	270	129
677	270	128
678	271	128
679	271	127
680	272	127
681	272	127
682	272	126
683	273	126
684	273	125
685	274	125
686	274	125
687	274	124
688	275	124
